transcript,index,de,dgs,mouth
1176340,0,"Sieh her, jetzt musst du meine Geschichte aus deinem Gedächtnis löschen.","['SEHEN-AUF1^*', 'MUSS1*', 'HIRN1A^', 'LÖSCHEN1A*', 'MEIN1', 'GESCHICHTE2*']","['muss', 'löschen', 'meine', 'geschichte']"
1176340,1,"Was ich dir von mir schon erzählt habe, kannst du jetzt aus deinem Gedächtnis löschen. So kann ich es dir noch einmal erzählen.","['MEIN1*', 'VERGANGENHEIT1^*', '$INDEX1', 'HIRN1A^', 'LÖSCHEN1A*', 'ICH1', 'GEBÄRDEN1A', 'WIEDERHOLUNG1A*', 'GEBÄRDEN1A']","['mei{ne}', 'löschen', 'wiederholung']"
1176340,2,"Dann kannst du sagen, dass das etwas Neues für dich ist.","['$INDEX1*', 'WISSEN2B^', 'STIMMT1B', 'NEU1A']","['[MG]', 'stimmt', 'neu']"
1176340,3,"Ich beginne das Thema von Anfang an, so wie bisher.","['ÜBER1', 'THEMA1*', 'ANFANG1A*', 'WACHSEN2A^*', 'WIE3A', 'ANFANG1A^']","['über', 'thema', 'anfangen', 'wie', '[MG]']"
1176340,4,"Mein Thema ist meine Firma, bei der ich bin.","['ICH1', 'THEMA1*', 'ZUSAMMENHANG1A^', 'FIRMA1B*', 'MEIN1', 'FIRMA1B*']","['mein', 'thema', 'firma']"
1176340,5,"Also über meine Firma, da habe ich 2006 zum ersten Mal angefangen.","['FIRMA1B*', 'ZUSAMMENHANG1A*', 'ICH2', 'ERSTENS1A', 'ICH2', 'EINTRETEN1A^*', 'WAR1*', '$NUM-TAUSENDER1:2d', '$NUM-EINER1D:6d']","['zusammenhang', 'erst', 'war', 'zweitausendsechs']"
1176340,6,"Davor waren meine Kollegen ganz unterschiedlich, zum Beispiel hörend.","['ICH2', 'VOR2^*', 'KOLLEGE1A*', 'MEISTENS1A', 'VERSCHIEDEN1*', '$GEST^', 'HÖREND1A']","['[MG]', 'kollegen', '[MG]', 'verschieden', 'hörend']"
1176340,7,Meistens sind das Hörende untereinander und nur selten sind Gehörlose dabei.,"['MEISTENS1A', 'HÖREND1A', 'WIMMELN1^', 'TAUB-GEHÖRLOS1A*', 'SELTEN2']","['[MG]', 'hörend', '[MG]', 'selten']"
1176340,8,"Na ja, dann bin ich 2006 in die Firma gekommen. Als ich zur Firma kam, war schon ein anderer Gehörloser da.","['$GEST^', 'DANN1C', 'KANN2B', 'ICH1', '$NUM-TAUSENDER1:2d*', '$NUM-EINER1D:6d', 'EINTRETEN1A^*', 'FIRMA1B*', 'ICH1^', 'EINTRETEN1A^', 'ENDLICH3', '$NUM-EINER1A:1d', 'TAUB-GEHÖRLOS1A*', 'DA1']","['zweitausendsechs', 'firma', 'endlich', 'ein', 'da']"
1176340,9,"Für mich ist es wichtig, dass ein Gehörloser da ist, weil ich jemanden zum Kommunizieren brauche.","['ICH2', 'FÜR1*', 'WICHTIG1*', 'TAUB-GEHÖRLOS1A', 'GRUND4B', 'KOMMUNIKATION1A*', 'BRAUCHEN1', 'ICH1']","['für mich', 'wichtig', 'grund', 'kommuni{kation}', 'brauche']"
1176340,10,"Soll ich mich zurückhalten? Das wäre so etwas Ähnliches, das will ich nicht.","['$GEST^', '$PROD*', 'DASSELBE2A', '$GEST^']","['[MG]', 'selbe']"
1176340,11,"Darum ist es immer so, dass es viele Gehörlose/","['DARUM1*', 'IMMER4A*', 'VIEL5', 'TAUB-GEHÖRLOS1A']","['darum', 'immer', 'viele']"
1176340,12,Entschuldigung.,['ENTSCHULDIGUNG1*'],['entschuldi{gung}']
1176340,13,"Wenn viele Hörende da sind und nur wenige Gehörlose, fühlt sich das seltsam an.","['HÖREND1A', 'BEREICH1A^', 'VIEL1A', '$GEST^', 'ICH1', 'TAUB-GEHÖRLOS1A', 'SELBST1A', 'WENIG4', 'ICH2*', 'GEFÜHL3*']","['viel', 'selbst', 'wenig', '[MG]']"
1176340,14,"Aber das ist eigentlich auch egal, weil ich den Mut dazu habe und das locker sehen kann.","['||EGAL3*', '||$GEST-ABWINKEN1^*', '||DA1*', '||MUT1', '$GEST-ABWINKEN1^', 'LOCKER1']","['egal', 'da', 'mut', 'locker']"
1176340,15,"Ich arbeitete also in dieser Firma, aber ich hatte ein Angebot einer anderen Firma, bei der viele gehörlose Kollegen arbeiten.","['ICH2', 'ARBEITEN1', 'GEFÜHL3*', 'INNEN1A', '||GEWESEN1', '||$NUM-EINER1A:1d', '||FIRMA1B*', '||ANDERS1*', '||GEHÖREN1^*', 'AUF-PERSON1*', 'ANGEBOT1A*', '||$INDEX1*', 'VIEL1A', 'TAUB-GEHÖRLOS1A', 'KOLLEGE1A']","['arbeite', '[MG]', 'innen', 'gewesen', 'firma', 'andere', 'auf', 'angebot', 'viele', 'gehörlose', 'kollegen']"
1176340,16,Das fand ich nicht schlecht.,"['ICH1', 'SCHLECHT1*', '$GEST^']",['nicht schlecht']
1176340,17,"Ich war hin- und hergerissen, ob ich dorthin soll oder bei meiner Firma bleiben sollte.","['ICH2', 'SOLL1*', 'UNENTSCHIEDEN1^*', 'RICHTUNG3^*']","['soll', '[MG]']"
1176340,18,Bei meiner Firma arbeiten vor allem Hörende.,"['FIRMA1B*', 'MEHR1*', 'HÖREND1A', 'GEHÖREN1^*']","['firma', 'mehr', 'hörend']"
1176340,19,"Ich habe deshalb gezweifelt, weil ich wirklich gerne in der Firma mit Gehörlosen gearbeitet hätte.","['ICH2', 'UNENTSCHIEDEN1^', 'GERN1', 'EINTRETEN1A*']","['[MG]', 'gern', 'ein{treten}']"
1176340,20,"Andererseits hatte ich bei meiner Firma den Vorteil, dass die Stelle unbefristet war.","['$INDEX1*', 'VORTEIL1*', 'DAUERN1']","['aber', 'vorteil', 'dauer']"
1176340,21,"Die Stelle bei der anderen Firma war nicht so sicher, weil die nur für zwei Jahre ging.","['$INDEX1*', 'UNSICHER1*', 'NUR2A*', 'JAHR1A*']","['[MG]', 'nur', 'zwei jahre']"
1176340,22,"Ich war hin- und hergerissen. Ich habe den Vorteil mit der Kommunikation gesehen, die ich brauche und die bequem ist.","['ICH2', 'VORTEIL1', 'BRAUCHEN1*', 'KOMMUNIKATION1A*', 'BRAUCHEN1', 'ICH2', 'BEQUEM1*']","['vor{teil}', 'brauch', 'kommunikation', 'brauche', 'bequem']"
1176340,23,Das ist ja auch meine Gehörlosenwelt.,"['MEIN1', 'TAUB-GEHÖRLOS1A', 'WELT1', 'MEIN1*']",['gehörlosenwelt']
1176340,24,"Ich war am Abwägen, aber habe das doch gelassen und erstmal versucht, bei meiner Firma zu bleiben.","['$INDEX2*', '$GEST-ABWINKEN1^', 'ICH1', 'VERSUCHEN1*', 'BLEIBEN2*']","['[MG]', 'lass', 'bleiben']"
1176340,25,Ich nahm meinen Mut zusammen und ließ es auf mich zukommen.,"['MUT3', '$GEST-ABWINKEN1^*', 'ABLAUF1^*']","['mut', '[MG]', '[MG]']"
1176340,26,"Mit den Hörenden dort hatte ich nichts zu tun, die haben sich stur auf die Arbeit konzentriert und es gab keine Kommunikation.","['HÖREND1A*', 'BEREICH1A^*', 'ICH2', '$GEST^', 'KONZENTRIEREN1A^', 'ARBEITEN1', 'NICHTS1B*', 'KOMMUNIKATION1A*']","['hörende', '[MG]', '[MG]', 'arbeiten', 'nichts', 'kommu{nizieren}']"
1176340,27,Sie hatten kein Herz für Gehörlose.,"['TAUB-GEHÖRLOS1A', 'HERZ1B^*', 'NICHTS1B*']","['gut', 'nichts nichts']"
1176340,28,Ich habe mir das angesehen und war über die Situation erstaunt.,"['ICH2', 'SEHEN-AUF1^*', 'SO3', 'ICH2']",['so']
1176340,29,Normalerweise sind Hörende zuerst immer an Gebärdensprache interessiert und mögen das. Aber die haben sich nur auf die Arbeit konzentriert.,"['NORMALERWEISE1*', 'MEISTENS1A', 'HÖREND1A*', '$GEST^', 'INTERESSE1A*', 'GEBÄRDEN1A*', 'INTERESSE1A', 'NORMALERWEISE1*', '$GEST^', '$INDEX1*', 'NEIN3B^*', 'KONZENTRIEREN1A^']","['normalerweise', 'meist', 'hörende', '[MG]', 'inter{esse}', 'gebärden', 'inter{esse}', 'normalerweise']"
1176340,30,"Ich nahm das so hin und da waren wir nur zwei Gehörlose, das wars.","['ICH2', '$GEST-ABWINKEN1^*', 'NUR2A', 'TAUB-GEHÖRLOS1A*', 'BEIDE2A*', 'ENDE1^*']","['[MG]', 'nur', '[MG]']"
1176340,31,"Wenn wir gebärden, versuche ich, dass die Kollegen davon abgelenkt werden.","['ICH2^*', 'GEBÄRDEN1A', 'VERSUCHEN1*', 'ICH1', 'ERBLICKEN1^*', 'LOCKEN1*', 'FASZINIEREND2', 'ICH1', 'LOCKEN1*', 'ABLENKUNG1*']","['[MG]', 'versuche', '[MG]', '[MG]', 'locken', '[MG]', 'locken', 'ablenken']"
1176340,32,"Ich möchte sie dazu bringen, dass sie versuchen zu gebärden, zu gestikulieren und ihre Mimik einzusetzen.","['ICH2', 'LOCKEN1^*', 'GEBÄRDEN1A', 'GESTIK1*']","['[MG]', '[MG]', '[MG]']"
1176340,33,Sie gingen darauf ein und einige von ihnen wurden ein bisschen besser.,"['HÖREND1A*', 'ACHTUNG1A^*', 'BISSCHEN2A', 'ABLAUF1^*', 'BESSER1*']","['[MG]', '[MG]', 'bi{sschen}', 'besser']"
1176340,34,"Ich brachte ihnen etwas bei und versuchte, sie ehrgeizig zu motivieren.","['ICH2', '$GEST^', 'WILLE6^*', 'FÖRDERN2A^*']","['[MG]', '[MG]']"
1176340,35,"Das lief so weiter, aber es kam ins Stocken und nahm weiter ab. Das fand ich nicht toll.","['ABLAUF1^', 'MEHR3', '$PROD*', '||ICH2', '||$GEST^']","['[MG]', '[MG]', '[MG]']"
