1;Deutsch; Sieh her, jetzt musst du meine Geschichte aus deinem Gedächtnis löschen.
;Gloss; SEHEN-AUF1^* MUSS1* HIRN1A^ LÖSCHEN1A* MEIN1 GESCHICHTE2* 
;Mundbild; muss löschen meine geschichte 
;;
;;
2;Deutsch; Was ich dir von mir schon erzählt habe, kannst du jetzt aus deinem Gedächtnis löschen. So kann ich es dir noch einmal erzählen. 
;Gloss; MEIN1* VERGANGENHEIT1^* $INDEX1 HIRN1A^ LÖSCHEN1A* ICH1 GEBÄRDEN1A WIEDERHOLUNG1A* GEBÄRDEN1A 
;Mundbild; mei{ne} löschen wiederholung 
;;
;;
3;Deutsch; Dann kannst du sagen, dass das etwas Neues für dich ist. 
;Gloss; $INDEX1* WISSEN2B^ STIMMT1B NEU1A 
;Mundbild; [MG] stimmt neu 
;;
;;
4;Deutsch; Du kannst mit einem Thema anfangen. Es liegt bei dir, über was du erzählst. Ich beginne das Thema von Anfang an, so wie bisher. Mein Thema ist meine Firma, bei der ich bin. 
;Gloss; ÜBER1 THEMA1* ANFANG1A* WACHSEN2A^* WIE3A ANFANG1A^ ICH1 THEMA1* 
;Mundbild; über thema anfangen wie [MG] mein thema 
;;
;;
5;Deutsch; Du kannst mit einem Thema anfangen. Es liegt bei dir, über was du erzählst. 
;Gloss; ÜBER1 THEMA1* ANFANG1A* WACHSEN2A^* WIE3A ANFANG1A^ 
;Mundbild; über thema anfangen wie [MG] 
;;
;;
6;Deutsch; Du kannst mit einem Thema anfangen. Es liegt bei dir, über was du erzählst. 
;Gloss; ICH1 THEMA1* ZUSAMMENHANG1A^ FIRMA1B* MEIN1 FIRMA1B* 
;Mundbild; mein thema firma 
;;
;;
7;Deutsch; Also über meine Firma, da habe ich 2006 zum ersten Mal angefangen. 
;Gloss; FIRMA1B* ZUSAMMENHANG1A* ICH2 ERSTENS1A ICH2 EINTRETEN1A^* WAR1* $NUM-TAUSENDER1:2d* $NUM-EINER1D:6d* 
;Mundbild; zusammenhang erst war zweitausendsechs 
;;
;;
